Library System	Branch Name	Library Type	Street Address	City	ZIP Code	County	Website	Phone Number	Director	Branch Head	Building Square Feet	FTE Staff	Hours
Durham County Library	North Regional Library	Public	221 Milton Rd	Durham	27712	Durham	https://durhamcountylibrary.org/	(919) 560-0231	Tammy Baggett	Stephanie Fennell	"25,000"	14.04	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-6 pm  Thu: 9 am-9 pm  Fri: 9:30 am-6 pm  Sat: 9:30 am-6 pm  Sun: 2 pm-6 pm
Durham County Library	Southwest Regional Library	Public	3605 Shannon Rd	Durham	27707	Durham	https://durhamcountylibrary.org/	(919) 560-8590	Tammy Baggett	Ruth Link	"25,000"	17.11	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-6 pm  Thu: 9 am-9 pm  Fri: 9:30 am-6 pm  Sat: 9:30 am-6 pm  Sun: 2 pm-6 pm
Durham County Library	Stanford L Warren Branch Library	Public	1201 Fayetteville St	Durham	27707	Durham	https://durhamcountylibrary.org/	(919) 560-0270	Tammy Baggett	Myrtle Darden	"10,244"	7.17	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-6 pm  Thu: 9 am-9 pm  Fri: 9:30 am-6 pm  Sat: 9:30 am-6 pm  Sun: 2 pm-6 pm
East Albemarle Regional Library	Camden County Public Library	Public	104 Investor's Way Unit C-F	Camden	27921	Camden	http://www.youseemore.com/EARL/default.asp	(252) 331-2543	Jonathan Wark	Kim Perry	"6,800"	4.25	Mon: 9 am-7 pm  Tue: 9 am-7 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 10 am-4 pm
East Albemarle Regional Library	Corolla Branch Library	Public	1123 Ocean Trail	Corolla	27927	Currituck	http://www.youseemore.com/EARL/default.asp	(252) 453-0496	Jonathan Wark	Teresa Westerman	"2,609"	2.00	Mon: 9 am-5 pm  Tue: 9 am-5 pm  Wed: 9 am-5 pm  Thu: 10 am-6 pm  Fri: 9 am-5 pm
East Albemarle Regional Library	Currituck County Library	Public	4261 Caratoke Hwy	Barco	27917	Currituck	http://www.youseemore.com/EARL/default.asp	(252) 453-8345	Jonathan Wark	Dorothy Hocutt	"9,965"	5.25	Mon: 9 am-6 pm  Tue: 9 am-6 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 8:30 am-5 pm
East Albemarle Regional Library	Dare County Library	Public	700 N Highway 64/264	Manteo	27954	Dare	http://www.youseemore.com/EARL/default.asp	(252) 473-2372	Jonathan Wark	Veronica Brickhouse	"8,449"	6.23	Mon: 10 am-7 pm  Tue: 10 am-5:30 pm  Wed: 10 am-5:30 pm  Thu: 10 am-7 pm  Fri: 10 am-5:30 pm  Sat: 10 am-4 pm
East Albemarle Regional Library	Hatteras Branch Library	Public	57709 Highway 12	Hatteras	27943	Dare	http://www.youseemore.com/EARL/default.asp	(252) 986-2385	Jonathan Wark	Michelle Lord	"3,600"	1.89	Tue: 10 am-5:30 pm  Wed: 1 pm-7 pm  Thu: 10 am-5:30 pm  Fri: 10 am-5:30 pm  Sat: 10 am-12:30 pm
East Albemarle Regional Library	Kill Devil Hills Branch Library	Public	400 Mustian St	Kill Devil Hills	27948	Dare	http://www.youseemore.com/EARL/default.asp	(252) 441-4331	Jonathan Wark	Kim Kubisiak	"8,121"	6.75	Mon: 10 am-5:30 pm  Tue: 10 am-7 pm  Wed: 10 am-7 pm  Thu: 10 am-5:30 pm  Fri: 10 am-5:30 pm  Sat: 10 am-4 pm
East Albemarle Regional Library	Moyock Public Library	Public	126 Campus Dr	Moyock	27958	Currituck	http://www.youseemore.com/EARL/default.asp	(252) 435-6419	Jonathan Wark	Ashley Trotter	"7,800"	4.00	Mon: 9 am-6 pm  Tue: 9 am-6 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 8:30 am-5 pm
East Albemarle Regional Library	Pasquotank Library Bookmobile	Public	100 E Colonial Ave	Elizabeth City	27909	Pasquotank	http://www.youseemore.com/EARL/default.asp	(252) 335-2473	Jonathan Wark	Monek Adams	N/A	1.00	Varies
East Albemarle Regional Library	Pasquotank County Library	Public	100 E Colonial Ave	Elizabeth City	27909	Pasquotank	http://www.youseemore.com/EARL/default.asp	(252) 335-2473	Jonathan Wark	Jackie King	"22,544"	12.00	Mon: 8:30 am-6:30 pm  Tue: 8:30 am-7 pm  Wed: 8:30 am-6:30 pm  Thu: 8:30 am-7 pm  Fri: 8:30 am-6:30 pm  Sat: 10 am-2 pm
Edgecombe County Memorial Library	Edgecombe County Memorial Library (Main)	Public	909 Main St	Tarboro	27886	Edgecombe	http://edgecombelibrary.libguides.com/homepage	(252) 823-1141	Roman Leary	Roman Leary	"17,450"	13.50	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-9 pm  Thu: 9 am-9 pm  Fri: 9 am-6 pm  Sat: 9 am-5 pm
Edgecombe County Memorial Library	Pinetops Branch Library	Public	201 S 1st St	Pinetops	27864	Edgecombe	http://edgecombelibrary.libguides.com/homepage	(252) 827-4621	Roman Leary	Kathy Causway	"6,000"	1.40	Mon: 9 am-6 pm  Tue: 9 am-8 pm  Wed: 9 am-6 pm  Thu: 9 am-8 pm  Fri: 9 am-6 pm
Farmville Public Library	Farmville Public Library	Public	4276 W Church St	Farmville	27828	Pitt	https://www.farmvillelibrary.org/	(252) 753-3355	David Miller	David Miller	"9,366"	4.00	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-6 pm  Sat: 9 am-3 pm
Fontana Regional Library	Albert Carlton-Cashiers Community Library	Public	249 Frank Allen Rd	Cashiers	28717	Jackson	http://fontanalib.org/	(828) 743-0215	Karen Wallace	Serenity Richards	"11,366"	6.45	Tue: 10 am-5:30 pm  Wed: 10 am-5:30 pm  Thu: 10 am-7 pm  Fri: 10 am-5:30 pm  Sat: 10 am-4 pm
Fontana Regional Library	Hudson Library	Public	554 Main St	Highlands	28741	Macon	http://fontanalib.org/	(828) 526-3031	Karen Wallace	Carlyn Morenus	"8,400"	4.75	Tue: 10 am-5:30 pm  Wed: 10 am-5:30 pm  Thu: 10 am-5:30 pm  Fri: 10 am-5:30 pm  Sat: 10 am-4 pm
Fontana Regional Library	Jackson County Public Library	Public	310 Keener St	Sylva	28779	Jackson	http://fontanalib.org/	(828) 586-2016	Karen Wallace	Tracy Fitmaurice	"26,000"	17.88	Mon: 10 am-6 pm  Tue: 10 am-8 pm  Wed: 10 am-6 pm  Thu: 10 am-8 pm  Fri: 10 am-5 pm  Sat: 10 am-5 pm
Fontana Regional Library	Macon County Public Library	Public	149 Siler Farm Rd	Franklin	28734	Macon	http://fontanalib.org/	(828) 524-3600	Karen Wallace	Karen Wallace	"29,450"	18.58	Mon: 10 am-7 pm  Tue: 10 am-7 pm  Wed: 10 am-7 pm  Thu: 10 am-7 pm  Fri: 10 am-5 pm  Sat: 10 am-5 pm
Fontana Regional Library	Marianna Black Library	Public	33 Fryemont Rd	Bryson City	28713	Swain	http://fontanalib.org/	(828) 488-3030	Karen Wallace	Jeff Delfield	"8,790"	5.75	Mon: 10 am-5:30 pm  Tue: 10 am-7 pm  Wed: 10 am-5:30 pm  Thu: 10 am-7 pm  Fri: 10 am-4 pm  Sat: 10 am-4 pm
Fontana Regional Library	Nantahala Community Library	Public	128 Nantahala School Rd	Topton	28781	Macon	http://fontanalib.org/	(828) 321-3020	Karen Wallace	Sharon Crosby	450	1.12	Tue: 10 am-5 pm  Wed: 10 am-5 pm  Thu: 10 am-5 pm  Fri: 10 am-5 pm  Sat: 10 am-5 pm
Forsyth County Public Library	Carver School Road Branch Library	Public	4915 Lansing Dr	Winston-Salem	27105	Forsyth	http://www.forsyth.cc/library/	(336) 703-2910	Sylvia Sprinkle-Hamlin	Melisa Williams	"10,000"	4.90	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 10 am-5 pm
Forsyth County Public Library	Clemmons Branch Library	Public	3554 Clemmons Rd	Clemmons	27012	Forsyth	http://www.forsyth.cc/library/	(336) 703-2920	Sylvia Sprinkle-Hamlin	Carolyn Price	"8,900"	6.35	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 10 am-5 pm
Forsyth County Public Library	Malloy/Jordan East Winston Heritage Center	Public	1110 E 7th St	Winston-Salem	27101	Forsyth	http://www.forsyth.cc/library/	(336) 703-2950	Sylvia Sprinkle-Hamlin	Wright Adams	"5,800"	5.00	Mon: 11 am-8 pm  Tue: 11 am-8 pm  Wed: 11 am-8 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 10 am-2 pm
Forsyth County Public Library	Forsyth County Public Library Bookmobile	Public	1110 E 7th St	Winston-Salem	27101	Forsyth	http://www.forsyth.cc/library/	(336) 703-2900	Sylvia Sprinkle-Hamlin	Wright Adams	N/A	2.00	Varies
Forsyth County Public Library	Forsyth County Public Library (Main)	Public	660 W Fifth Street	Winston-Salem	27101	Forsyth	http://www.forsyth.cc/library/	(336) 703-3011	Sylvia Sprinkle-Hamlin	Elizabeth Skinner	"103,000"	53.15	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 10 am-5 pm Sun: (Sep-May) 1 pm-5 pm
Forsyth County Public Library	Paddison Memorial Branch Library	Public	248 Harmon Ln	Kernersville	27284	Forsyth	http://www.forsyth.cc/library/	(336) 703-2930	Sylvia Sprinkle-Hamlin	Crystal Holland	"20,000"	6.35	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 10 am-5 pm  Sun: 1 pm-5 pm
Forsyth County Public Library	Lewisville Branch Library	Public	6490 Shallowford Rd	Lewisville	27023	Forsyth	http://www.forsyth.cc/library/	(336) 703-2940	Sylvia Sprinkle-Hamlin	Raegen Luntz	"15,000"	5.90	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 10 am-5 pm
Forsyth County Public Library	Rural Hall Branch Library	Public	7125 Broad St	Rural Hall	27045	Forsyth	http://www.forsyth.cc/library/	(336) 703-2970	Sylvia Sprinkle-Hamlin	Vacant	"8,900"	3.45	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 10 am-2 pm
Forsyth County Public Library	Southside Branch Library	Public	3185 Buchanan St	Winston-Salem	27127	Forsyth	http://www.forsyth.cc/library/	(336) 703-2980	Sylvia Sprinkle-Hamlin	Decca Slaughter	"9,800"	5.90	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 10 am-5 pm
Forsyth County Public Library	Walkertown Branch Library	Public	2969 Main St	Walkertown	27051	Forsyth	http://www.forsyth.cc/library/	(336) 703-2990	Sylvia Sprinkle-Hamlin	Natalia Tuchinia	"10,800"	3.45	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 10 am-2 pm
Forsyth County Public Library	Reynolda Manor Branch Library	Public	2839 Fairlawn Dr	Winston-Salem	27106	Forsyth	http://www.forsyth.cc/library/	(336) 703-2960	Sylvia Sprinkle-Hamlin	Jennifer Boneno	"17,000"	6.35	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 10 am-5 pm
Franklin County Library	Bunn Branch Library	Public	610 Main St	Bunn	27508	Franklin	https://www.franklincountync.us/services/library	(919) 496-6764	Holt Kornegay	Debra Pittman	"2,400"	1.00	Mon: 12 pm-7 pm  Tue: 12 pm-7 pm  Wed: 12 pm-7 pm  Thu: 12 pm-7 pm  Fri: 12 pm-7 pm
Franklin County Library	Franklin County Library (Main)	Public	906 N Main St	Louisburg	27549	Franklin	https://www.franklincountync.us/services/library	(919) 496-2111	Holt Kornegay	Holt Kornegay	"6,000"	8.00	Mon: 10 am-7 pm  Tue: 10 am-7 pm  Wed: 10 am-7 pm  Thu: 10 am-7 pm  Fri: 10 am-7 pm  Sat: 10 am-5 pm
Franklin County Library	Franklinton Public Library	Public	9 W Mason St	Franklinton	27525	Franklin	https://www.franklincountync.us/services/library	(919) 494-2736	Holt Kornegay	Alyce Kidd	"4,000"	1.50	Mon: 12 pm-7 pm  Tue: 12 pm-7 pm  Wed: 12 pm-7 pm  Thu: 12 pm-7 pm  Fri: 12 pm-7 pm
Franklin County Library	Franklin County Bookmobile	Public	906 N Main St	Louisburg	27549	Franklin	https://www.franklincountync.us/services/library	(919) 496-2111	Holt Kornegay	Vickie Williams	24	0.07	Varies
Franklin County Library	Youngsville Branch Library	Public	218 US 1A Hwy S	Youngsville	27596	Franklin	https://www.franklincountync.us/services/library	(919) 556-1612	Holt Kornegay	Jimmie Williams	"4,096"	2.00	Mon: 10 am-7 pm  Tue: 10 am-7 pm  Wed: 10 am-7 pm  Thu: 10 am-7 pm  Fri: 10 am-7 pm  Sat: 1 pm-5 pm
Gaston County Public Library	Belmont Branch Library	Public	125 N Central Ave	Belmont	28012	Gaston	http://gastonlibrary.org/	(704) 285-5426	Laurel Morris	Katie Cox	"4,953"	3.00	Mon: 10 am-6 pm  Tue: 10 am-6 pm  Wed: 10 am-2 pm  Thu: 12 pm-8 pm  Fri: 10 am-6 pm  Sat: 10 am-2 pm
Gaston County Public Library	Bessemer City Branch Library	Public	207 N 12th St	Bessemer City	28016	Gaston	http://gastonlibrary.org/	(704) 629-3321	Laurel Morris	Sandra Love Corum	"3,034"	2.50	Mon: 12 pm-8 pm  Tue: 10 am-6 pm  Wed: 10 am-2 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-2 pm
Gaston County Public Library	Cherryville Branch Library	Public	605 E Main St	Cherryville	28021	Gaston	http://gastonlibrary.org/	(704) 435-6767	Laurel Morris	Traci Pollitt	"4,534"	3.00	Mon: 10 am-6 pm  Tue: 12 pm-8 pm  Wed: 10 am-2 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-2 pm
Gaston County Public Library	Dallas Branch Library	Public	105 S Holland St	Dallas	28034	Gaston	http://gastonlibrary.org/	(704) 922-3621	Laurel Morris	Christine McGovern	"2,970"	2.00	Mon: 10 am-6 pm  Tue: 10 am-6 pm  Wed: 10 am-2 pm  Thu: 12 pm-8 pm  Fri: 10 am-6 pm  Sat: 10 am-2 pm
Gaston County Public Library	Ferguson Branch Library	Public	913 N Pryor St	Gastonia	28052	Gaston	http://gastonlibrary.org/	(704) 868-8046	Laurel Morris	Daniel Tapia	"1,000"	1.00	Mon: 3 pm-8 pm  Tue: 3 pm-8 pm  Wed: 3 pm-8 pm  Thu: 3 pm-8 pm  Fri: 1 pm-5 pm  Sat: 10 am-2 pm
Gaston County Public Library	Gaston County Public Library (Main)	Public	1555 E Garrison Blvd	Gastonia	28054	Gaston	http://gastonlibrary.org/	(704) 868-2164	Laurel Morris	Laurel Morris	"60,000"	33.50	Mon: 10 am-9 pm  Tue: 10 am-9 pm  Wed: 10 am-6 pm  Thu: 10 am-9 pm  Fri: 10 am-2 pm  Sat: 10 am-6 pm
Gaston County Public Library	Lowell Branch Library	Public	203 McAdenville Rd	Lowell	28098	Gaston	http://gastonlibrary.org/	(704) 824-1266	Laurel Morris	Kendall Ramsey	"3,604"	2.00	Mon: 10 am-6 pm  Tue: 12 pm-8 pm  Wed: 10 am-6 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm
Gaston County Public Library	Mt. Holly Branch Library	Public	245 W Catawba Ave	Mount Holly	28120	Gaston	http://gastonlibrary.org/	(704) 827-3581	Laurel Morris	Debra Trogdon-Livingston	"4,054"	3.00	Mon: 12 pm-8 pm  Tue: 10 am-6 pm  Wed: 10 am-2 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-2 pm
Gaston County Public Library	Stanley Branch Library	Public	205 Peterson St	Stanley	28164	Gaston	http://gastonlibrary.org/	(704) 263-4166	Laurel Morris	Michelle Osborne	"3,084"	3.00	Mon: 10 am-6 pm  Tue: 12 pm-8 pm  Wed: 10 am-2 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-2 pm
Gaston County Public Library	Union Road Branch Library	Public	5800 Union Rd	Gastonia	28056	Gaston	http://gastonlibrary.org/	(704) 852-4073	Laurel Morris	Rene Crump	"5,000"	3.00	Mon: 12 pm-8 pm  Tue: 10 am-6 pm  Wed: 10 am-2 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-2 pm
George H. & Laura E. Brown Public Library	George H. & Laura E. Brown Public Library	Public	122 Van Norden St	Washington	27889	Beaufort	https://washington-nc.libguides.com/home	(252) 946-4300	Sandra Silvey	Sandra A. Silvey	"12,000"	7.00	Mon: 9 am-6 pm  Tue: 9 am-6 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 9 am-6 pm
Granville County Library System	Berea Branch Library	Public	1211 Hwy 158	Oxford	27565	Granville	https://granville.lib.nc.us/	(919) 693-1231	Will Robinson 	Abbe Few	"1,128"	0.50	Tue: 10 am-3 pm  Thu: 2 pm-7 pm  Sat: 10 am-3 pm
Granville County Library System	Richard H. Thornton Library (Main)	Public	210 Main St	Oxford	27565	Granville	https://granville.lib.nc.us/	(919) 693-1121	Will Robinson 	Will Robinson 	"12,125"	12.00	Mon: 10 am-8 pm  Tue: 10 am-8 pm  Wed: 10 am-8 pm  Thu: 10 am-8 pm  Fri: 10 am-5 pm  Sat: 10 am-5 pm  Sun: (Sep-May) 1 pm-5 pm
Granville County Library System	South Branch Library	Public	1550 S Campus Dr	Creedmoor	27522	Granville	https://granville.lib.nc.us/	(919) 528-1752	Will Robinson 	Zina Hardee	"14,200"	4.50	Mon: 10 am-8 pm  Tue: 10 am-8 pm  Wed: 10 am-8 pm  Thu: 10 am-8 pm  Fri: 10 am-5 pm  Sat: 12 pm-5 pm
Granville County Library System	Stovall Branch Library	Public	300 Main St	Stovall	27582	Granville	https://granville.lib.nc.us/	(919) 693-5722	Will Robinson 	Deborah Bullock	"4,200"	1.00	Mon: 10 am-5 pm  Tue: 12 pm-7 pm  Wed: 10 am-5 pm  Thu: 12 pm-7 pm  Sat: 10 am-5 pm  Sun: (Sep-May) 2 pm-5 pm
Greensboro Public Library	Blanche Benjamin Branch Library	Public	1530 Benjamin Pkwy	Greensboro	27408	Guilford	https://library.greensboro-nc.gov/home	(336) 373-7540	Brigitte Blanton	Katherine Fanstill	"8,400"	5.63	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-9 pm  Thu: 9 am-9 pm  Fri: 9 am-6 pm  Sat: 9 am-6 pm  Sun: 2 pm-6 pm
Greensboro Public Library	Glenwood Branch Library	Public	1901 W Florida St	Greensboro	27403	Guilford	https://library.greensboro-nc.gov/home	(336) 297-5000	Brigitte Blanton	Amy Matthews	"10,000"	5.75	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-9 pm  Thu: 9 am-9 pm  Fri: 9 am-6 pm  Sat: 9 am-6 pm  Sun: 2 pm-6 pm
Greensboro Public Library	Glenn McNairy Branch Library	Public	4860 Lake Jeanette Rd	Greensboro	27455	Guilford	https://library.greensboro-nc.gov/home	(336) 373-2015	Brigitte Blanton	Wanda Phifer	"15,000"	7.00	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-9 pm  Thu: 9 am-9 pm  Fri: 9 am-6 pm  Sat: 9 am-6 pm  Sun: 2 pm-6 pm
Greensboro Public Library	Greensboro Public Library (Main)	Public	219 N Church St	Greensboro	27401	Guilford	https://library.greensboro-nc.gov/home	(336) 373-2474	Brigitte Blanton	Brian Hart	"98,500"	48.50	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-9 pm  Thu: 9 am-9 pm  Fri: 9 am-9 pm  Sat: 9 am-6 pm  Sun: 2 pm-6 pm
Greensboro Public Library	Kathleen Clay Edwards Family Branch	Public	1420 Price Park Rd	Greensboro	27410	Guilford	https://library.greensboro-nc.gov/home	(336) 373-2923	Brigitte Blanton	Jane Hutson	"15,000"	9.63	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-9 pm  Thu: 9 am-9 pm  Fri: 9 am-6 pm  Sat: 9 am-6 pm  Sun: 2 pm-6 pm
Greensboro Public Library	McGirt-Horton Branch Library	Public	2501 Phillips Ave	Greensboro	27405	Guilford	https://library.greensboro-nc.gov/home	(336) 373-5810	Brigitte Blanton	Katie Fanstill	"10,000"	6.00	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-9 pm  Thu: 9 am-9 pm  Fri: 9 am-6 pm  Sat: 9 am-6 pm  Sun: 2 pm-6 pm
Greensboro Public Library	Hemphill Branch Library	Public	2301 W Vandalia Rd	Greensboro	27407	Guilford	https://library.greensboro-nc.gov/home	(336) 373-2925	Brigitte Blanton	Brian Johnson	"15,000"	6.00	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-9 pm  Thu: 9 am-9 pm  Fri: 9 am-6 pm  Sat: 9 am-6 pm  Sun: 2 pm-6 pm
Greensboro Public Library	Vance H. Chavis Lifelong Learning Branch Library	Public	900 S Benbow Rd	Greensboro	27406	Guilford	https://library.greensboro-nc.gov/home	(336) 373-5838	Brigitte Blanton	Amy Matthews	"6,088"	6.50	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-9 pm  Thu: 9 am-9 pm  Fri: 9 am-6 pm  Sat: 9 am-6 pm  Sun: 2 pm-6 pm
Halifax County Library System	Enfield Library	Public	103 S Railroad St	Enfield	27823	Halifax	http://www.halifaxnc.libguides.com/hcl	(252) 445-5203	Virginia Orvedahl	Cheryl Dickens	"1,800"	2.00	Mon: 8:30 am-5 pm  Tue: 8:30 am-5 pm  Wed: 8:30 am-5 pm  Thu: 8:30 am-5 pm  Fri: 8:30 am-5 pm  Sat: 9 am-12 pm 
Halifax County Library System	Halifax County Library (Main)	Public	33 Granville St	Halifax	27839	Halifax	http://www.halifaxnc.libguides.com/hcl	(252) 583-3631	Virginia Orvedahl	Barbara Valdes	"11,589"	2.00	Mon: 8:30 am-6 pm  Tue: 8:30 am-5 pm  Wed: 8:30 am-6 pm  Thu: 8:30 am-5 pm  Fri: 8:30 am-5 pm  Sat: 9 am-12:30 pm 
Halifax County Library System	Littleton Public Library	Public	114 E South Main St	Littleton	27850	Halifax	http://www.halifaxnc.libguides.com/hcl	(252) 586-3608	Virginia Orvedahl	Kim Gray	"4,000"	2.00	Mon: 8:30 am-5 pm  Tue: 8:30 am-5 pm  Wed: 8:30 am-5 pm  Thu: 8:30 am-7 pm  Fri: 8:30 am-5 pm  Sat: 9 am-12:30 pm 
Halifax County Library System	Scotland Neck Memorial Library	Public	1600 Main St	Scotland Neck	27874	Halifax	http://www.halifaxnc.libguides.com/hcl	(252) 826-5578	Virginia Orvedahl	Brenda Mills	"7,200"	2.00	Mon: 8:30 am-5 pm  Tue: 8:30 am-7 pm  Wed: 8:30 am-5 pm  Thu: 8:30 am-7 pm  Fri: 8:30 am-5 pm  Sat: 9 am-12 pm 
Halifax County Library System	Weldon Memorial Library	Public	6 W 1st St	Weldon	27890	Halifax	http://www.halifaxnc.libguides.com/hcl	(252) 536-3837	Virginia Orvedahl	LaTarsha Debro	"3,520"	2.00	Mon: 8:30 am-5 pm  Tue: 8:30 am-7 pm  Wed: 8:30 am-5 pm  Thu: 8:30 am-5 pm  Fri: 8:30 am-5 pm  Sat: 9 am-12:30 pm 
Harnett County Public Library	Angier Public Library	Public	28 N Raleigh St	Angier	27546	Harnett	https://harnett.libguides.com/hcpl	(919) 639-4413	Angela McCauley	Amanda B Davis	"3,000"	3.20	Mon: 9 am-5 pm  Tue: 9 am-6:30 pm  Wed: 9 am-5 pm  Thu: 9 am-6:30 pm  Fri: 9 am-5 pm
Harnett County Public Library	Coats Public Library	Public	29 E Main St	Coats	27521	Harnett	https://harnett.libguides.com/hcpl	(910) 230-1944	Angela McCauley	Teresa Brown	"1,800"	0.90	Mon: 11 am-6 pm  Tue: 11 am-6 pm  Wed: 11 am-6 pm  Thu: 11 am-6 pm  Fri: 10 am-3 pm
Harnett County Public Library	Dunn Public Library	Public	110 E Divine St	Dunn	28334	Harnett	https://harnett.libguides.com/hcpl	(910) 892-2899	Angela McCauley	Michael Williams	"4,000"	4.00	Mon: 9 am-6 pm  Tue: 9 am-6 pm  Wed: 9 am-6 pm  Thu: 11 am-6 pm  Fri: 9 am-5 pm  Sat: 9 am-1 pm 
Harnett County Public Library	Erwin Public Library	Public	110 W F St	Erwin	28339	Harnett	https://harnett.libguides.com/hcpl	(910) 897-5780	Angela McCauley	Jeanne Serrette	"1,800"	1.40	Mon: 9 am-5 pm  Tue: 9 am-5 pm  Wed: 9 am-5 pm  Thu: 9 am-5 pm  Fri: 9 am-5 pm
Harnett County Public Library	Harnett County Public Library (Main)	Public	601 S Main St	Lillington	27546	Harnett	https://harnett.libguides.com/hcpl	(910) 893-3446	Angela McCauley	Angela McCauley	"14,395"	14.50	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-1 pm
Harnett County Public Library	Anderson Creek Public Library	Public	914 Anderson Creek School Rd	Bunnlevel	28323	Harnett	https://harnett.libguides.com/hcpl	(910) 814-4012	Angela McCauley	Angela McCauley	"3,500"	0.80	Tue: 4 pm-8 pm  Thu: 4 pm-8 pm  Sat: 10 am-2 pm
Harnett County Public Library	Boone Trail Community Center & Library	Public	8500 Old US 421	Lillington	27546	Harnett	https://harnett.libguides.com/hcpl	(910) 984-1094	Angela McCauley	Angela McCauley	"4,250"	2.00	Mon: 2 pm-8 pm  Tue: 2 pm-8 pm  Wed: 2 pm-8 pm  Thu: 2 pm-8 pm  Fri: 2 pm-8 pm  Sat: 9 am-4 pm
Harold D. Cooley Library	Harold D. Cooley Library	Public	114 W Church St	Nashville	27856	Nash	http://www.townofnashville.com/community/town-library	(252) 459-2106	Emily Enderle	Emily Enderle	"6,000"	2.00	Mon: 9 am- 6 pm  Tue: 9 am- 6 pm  Wed: 9 am- 6 pm  Thu: 9 am- 6 pm  Fri: 9 am- 6 pm  Sat: 9 am- 3 pm 
Haywood County Public Library	Fines Creek Branch Library	Public	190 Fines Creek Rd	Clyde	28721	Haywood	http://www.haywoodlibrary.org/	(828) 356-2551	Kathy Vossler	Donna Surles	"1,728"	1.00	Mon: 9 am-5 pm  Wed: 9 am-5 pm
Haywood County Public Library	Canton Branch Library	Public	11 Pennsylvania Ave	Canton	28716	Haywood	http://www.haywoodlibrary.org/	(828) 648-2924	Kathy Vossler	Jennifer Stuart	"10,000"	3.00	Mon: 9 am-6 pm  Tue: 9 am-7 pm  Wed: 9 am-6 pm  Thu: 9 am-7 pm  Fri: 9 am-6 pm  Sun: 1:30 pm-5 pm
